att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,att_21,att_22,att_23,att_24,att_25,att_26,att_27,att_28,att_29,att_30,att_31,att_32,att_33,att_34,att_35,att_36,att_37,att_38,att_39,att_40,att_41,att_42,att_43,att_44,att_45,att_46,att_47,att_48,att_49,att_50,att_51,att_52,att_53,att_54,att_55,att_56,att_57,att_58,att_59,att_60,att_61,att_62,att_63,att_64,att_65,att_66,class
2.4767,5.220728,-0.180228,-1.871051,-0.870569,-0.396016,0.548202,0.414261,-0.483824,-0.504777,0.176026,0.142432,-0.467045,0.509938,0.398086,-0.561205,-0.118672,0.407251,0.629753,-0.364249,-0.2876,0.13725,0.040216,0.091476,-0.109232,0.122348,0.071283,-0.24153,0.035358,-0.120055,0.106214,-0.041828,0.077238,-0.0899,0.103428,-0.118088,0.136225,0.109697,0.249749,-0.130089,-0.103641,0.121824,0.094691,0.086059,-0.058413,0.010804,0.061223,-0.070852,0.142699,0.071824,-0.127402,0.007259,-0.089718,0.092982,0.082213,0.01061,-0.03249,0.02084,-0.070893,0.111472,0.068221,-0.013747,0.036071,0.031884,0.030397,-0.054251,-1
-4.89777,0.91722,-0.437752,-1.345338,-0.187793,-0.665843,-1.232,-0.025495,0.784186,0.435579,-0.380333,0.161777,0.455659,0.136491,0.085549,0.176987,-0.545121,-0.043802,0.176992,-0.271898,-0.232055,0.177532,-0.012932,0.026589,-0.152333,-0.102913,0.178382,-0.339479,-0.120416,-0.117792,0.320282,-0.045104,-0.23119,-0.05195,0.112966,-0.067288,-0.093192,-0.199451,-0.020732,0.112823,-0.066948,0.029466,-0.297389,0.053351,0.185012,0.044557,0.111557,-0.092319,-0.117969,-0.157436,-0.117653,-0.043496,0.061526,-0.020405,0.071675,-0.089494,-0.055046,0.007151,0.004559,-0.012325,0.022564,0.032151,0.008217,-0.004239,0.013257,0.071589,-1
9.57846,-0.577689,3.855123,-3.342428,-2.509256,0.845096,0.888725,0.33819,-0.825018,0.779154,-0.231496,0.465926,0.093742,0.194683,0.404103,0.339473,-0.281276,-0.595555,-0.035799,0.330408,-0.077187,-0.247667,-0.029932,0.339819,-0.059354,0.243921,0.021921,-0.018425,-0.081708,0.032133,-0.035703,0.202383,-0.095187,0.099307,0.001298,0.12908,-0.064969,0.097487,0.050265,-0.04093,-0.133823,-0.00179,0.023882,-0.046365,0.076848,-0.109974,0.032808,-0.04676,-0.02792,-0.146293,0.039892,-0.000959,0.020513,0.004592,0.000228,-0.010118,-0.010933,-0.097685,-0.046195,0.105538,-0.079563,-0.118855,-0.033256,-0.008286,-0.066326,0.574107,-1
-0.126401,4.472796,-0.034676,-2.457094,-1.09995,0.986759,0.241333,0.261628,-0.499359,-0.484221,0.091991,-0.137911,-0.478368,0.639857,0.253859,-0.653699,0.131913,0.490866,0.524569,-0.357884,-0.317344,0.243456,0.055785,-0.082124,0.040352,0.310841,-0.105545,-0.063022,0.041968,0.084923,0.439191,-0.008464,-0.141999,-0.07181,-0.084335,-0.202018,0.03811,-0.184627,-0.080521,0.024856,-0.114264,-0.171059,0.06152,-0.125484,-0.050638,-0.048928,-0.080493,0.0844,-0.065373,-0.001807,-0.048476,0.022472,-0.022452,-0.056401,-0.137741,0.133318,-0.051892,0.041078,0.024621,-0.051885,-0.030458,-0.017009,-0.0509,-0.011711,-0.047791,0.049647,-1
-5.291782,0.632517,-0.890151,-0.33802,-0.018359,-0.993709,0.376836,-0.470826,0.339599,-0.097154,0.300062,0.12062,0.061035,0.05527,0.238183,-0.115545,0.099221,-0.15186,0.371709,0.050609,-0.142363,-0.045519,0.252519,-0.092854,-0.008448,-0.352564,-0.092028,0.015764,0.095363,0.050808,-0.182633,-0.107318,0.04593,0.08607,-0.154673,-0.135764,0.067239,0.017923,-0.023598,-0.021235,-0.220721,0.081808,0.042077,-0.160792,-0.056099,-0.018519,0.028585,0.055253,-0.001608,-0.084214,0.089117,0.104006,0.245032,-0.0827,0.116991,0.115775,0.000627,-0.009853,0.010164,0.07981,0.003933,0.073232,0.034166,0.00954,0.00576,-0.132406,-1
-2.192506,0.169462,-0.213423,-1.664723,-2.481041,0.482669,1.096156,0.325914,-0.23076,0.051323,0.489673,0.802266,-0.106408,0.223034,-0.085879,-0.152837,-0.119689,0.033108,0.278645,0.193723,0.042044,-0.093736,0.134501,-0.085455,-0.187908,0.010162,-0.31541,0.039257,-0.106398,-0.139773,-0.051488,-0.200316,0.240554,0.110457,0.190821,-0.013341,0.113602,0.049884,-0.121575,0.113728,0.195733,0.119658,-0.05265,0.074325,0.011584,-0.081607,0.043646,-0.082839,0.093712,-0.053404,-0.005266,0.031212,0.033439,0.065618,-0.012948,0.015225,0.044333,0.066099,-0.031673,-0.067008,0.026249,0.055518,0.005815,-0.015284,-0.154415,0.02335,-1
-1.013852,1.683834,-1.627431,-1.621837,-0.885955,0.117534,0.256107,-0.490296,-0.108731,0.395004,-0.305541,0.085457,0.784307,-0.173986,0.058706,0.053011,0.047447,-0.232178,-0.041789,0.200786,0.081873,0.003562,-0.046256,0.08997,0.010743,-0.029306,0.080276,0.029358,0.00645,0.02508,0.059266,0.060048,-0.067637,0.07783,-0.175364,-0.092453,-0.156519,0.03038,-0.039409,-0.087754,0.075707,0.09929,0.015003,-0.076754,0.062565,-0.002614,-0.01582,0.102773,0.073896,-0.062599,0.031478,-0.1584,-0.023454,0.015922,-0.15355,-0.022308,0.020659,0.000309,-0.057995,0.041478,0.038435,0.099377,-0.029151,0.175163,0.003361,-0.05998,-1
-5.026732,0.735347,-1.824203,0.56087,-0.17176,-1.107395,0.728259,-0.634898,0.234427,0.697195,0.58917,0.003797,0.376496,0.433146,0.645583,-0.021657,0.050534,-0.109546,-0.428358,-0.215473,-0.076496,-0.281013,-0.283036,0.171336,-0.222757,-0.12451,0.222998,0.134159,-0.019002,0.01312,-0.103864,0.11795,-0.052509,0.104195,0.118215,0.06434,0.017209,0.133799,-0.043995,-0.018069,-0.02624,-0.007212,-0.01219,-0.114363,-0.012688,-0.029771,-0.127939,-0.133196,-0.243274,0.156683,-0.098532,0.16329,-0.044694,0.120071,-0.039086,-0.01194,-0.063009,-0.049117,0.056297,0.027072,-0.011364,0.077687,-0.007733,0.033994,-0.027591,0.043784,-1
-2.099573,0.265084,-4.533936,2.268316,0.119744,-1.548944,-0.583285,-0.950357,-0.335972,-0.93384,0.235017,1.089631,-0.135223,-0.900324,-0.373288,-0.59856,-0.786515,-0.137323,-0.202956,0.156603,0.399192,0.182215,-0.09948,0.342784,-0.231595,0.37886,0.344638,0.118681,-0.125187,-0.017581,0.027626,-0.012856,-0.355211,-0.188183,0.152441,0.139558,0.173904,0.008576,0.229781,-0.115856,-0.031511,0.038791,-0.016227,-0.094974,-0.073415,0.099104,-0.062893,0.040313,0.077247,-0.053247,-0.005605,-0.022698,0.052142,0.009026,-0.01332,0.014834,0.119284,-0.002214,0.052871,-0.023912,-0.030753,0.027537,-0.014425,-0.028629,-0.028452,-0.133863,-1
-7.802457,-0.365798,0.9395,1.207462,0.647519,0.358535,-0.564116,-0.15992,0.560745,-0.417293,0.299119,0.574522,0.360961,0.737799,0.22164,-0.158449,-0.110651,0.399122,0.292039,0.58596,0.27146,0.072465,-0.330453,-0.330489,0.48281,-0.128426,0.047064,0.13537,0.08077,-0.265129,0.084065,0.24428,-0.071868,0.080257,-0.005882,-0.027304,0.038909,-0.115774,0.118645,0.03023,0.229745,0.124741,0.207365,-0.1743,0.250375,-0.047255,-0.067057,0.013662,0.030039,0.049124,-0.055552,-0.043073,0.049397,0.027786,0.087187,0.007038,-0.034186,-0.011953,0.001967,0.001591,-0.000817,-0.04038,-0.048886,-0.031087,0.006049,-0.288772,-1
5.739401,4.726571,-0.239622,0.204927,-1.22752,-0.97762,1.466167,-0.287039,-0.783668,-0.709387,-0.395196,-0.062405,-0.496735,-0.548777,0.06536,-0.159682,-0.231521,-0.304343,-0.156864,0.135356,0.153352,0.365957,-0.064534,0.11696,0.074833,-0.046859,0.054109,0.016582,-0.129632,-0.128712,-0.042957,0.181473,-0.02953,-0.098814,-0.058639,-0.20482,-0.178304,0.03409,-0.019716,0.106866,-0.027449,0.136203,0.085093,0.009332,-0.046286,0.03498,0.025553,-0.179791,0.009727,0.067438,0.099191,-0.030409,0.041352,-0.053443,-0.018133,0.015469,-0.08901,-0.129932,0.070068,-0.129836,0.102139,-0.039695,0.056093,0.014515,-0.012664,-0.102173,-1
-5.234367,0.696724,-1.130435,-0.030141,0.072241,-1.045127,0.543169,-0.342388,0.117103,-0.161838,0.545154,0.053269,-0.007892,0.157072,0.254237,0.042495,0.073011,-0.091873,0.377547,-0.073638,-0.135319,-0.051428,0.260847,-0.015695,0.027597,-0.11476,-0.002785,-0.022948,0.190734,-0.075824,-0.134641,-0.023865,0.014264,-0.150319,-0.044842,-0.011138,-0.072837,0.120639,0.056424,0.077366,-0.235945,0.081701,-0.007148,-0.05117,0.10513,0.06683,-0.159417,-0.032123,0.036532,0.107732,0.058299,-0.00621,0.056934,-0.020804,-0.104835,-0.186839,-0.00038,0.110507,-0.115419,-0.070591,-0.090456,-0.048896,0.038782,-0.018534,-0.004177,-0.017849,-1
-6.978,-0.074363,-0.582266,-0.619291,0.149046,-0.365084,-0.577892,-0.112992,0.40627,0.218636,-0.274886,-0.007473,0.362862,-0.218037,0.182999,0.014357,-0.233532,-0.272189,-0.03102,0.058662,0.242938,0.156207,-0.115112,0.078334,-0.209609,0.000989,0.013308,-0.008668,-0.332627,-0.036644,-0.106858,0.019681,-0.109894,0.177526,0.05372,0.052266,-0.163778,0.058229,0.058102,0.030714,0.000934,0.234537,-0.05875,0.180133,-0.044073,-0.193863,0.024887,0.079506,-0.112101,0.157639,-0.036665,-0.019821,-0.006985,-0.161175,-0.064025,0.134561,0.036666,0.090924,-0.040814,0.035229,0.024913,-0.045514,-0.020088,-0.040003,0.027267,-0.110937,-1
12.212602,-2.569381,3.671502,-2.493154,-4.470462,1.645429,0.679018,1.430334,-0.298258,0.375419,-0.147151,0.870241,-0.467188,0.260925,0.338792,0.751506,-0.553516,0.069142,0.020138,0.231837,-0.016454,-0.671826,0.364862,0.132675,0.048192,0.171457,0.239823,-0.006478,-0.077556,-0.032287,-0.134642,0.193209,-0.06585,-0.049012,0.078245,0.085782,0.013248,-0.031005,-0.047389,-0.031993,0.047538,-0.087029,0.062801,-0.031988,-0.023204,0.041052,-0.087605,0.016062,-0.013153,0.065113,-0.048642,-0.04101,0.045331,-0.0791,0.073836,0.009887,-0.027169,0.130877,0.031997,-0.060443,0.029586,0.071199,0.024113,0.010371,0.055625,0.294931,-1
-5.494224,-1.164321,-0.262574,-1.402051,-1.693226,0.837365,0.549811,-0.250312,-0.475769,0.121318,0.725539,0.431206,0.29765,-0.299451,-0.73968,-0.004602,0.166508,-0.161791,0.230855,0.247376,-0.141772,-0.265883,-0.160597,0.006373,-0.159276,0.261046,-0.292281,-0.075449,-0.139442,-0.0012,0.094844,-0.24721,0.114025,0.140996,0.01839,-0.074163,0.124276,0.107147,0.080701,-0.039152,0.027322,0.062267,-0.062417,-0.10836,-0.088725,-0.142563,-0.007624,-0.093832,-0.019195,-0.102424,0.051464,0.037605,0.003709,0.077207,-0.01657,-0.011912,-0.037461,-0.018076,-0.004682,-0.116264,-0.018089,-0.028135,-0.064002,0.005186,0.143335,0.096959,-1
0.613077,4.651897,2.170035,-0.774536,-1.241588,-1.671566,0.450917,0.446681,0.510908,0.392204,-1.324057,-0.011484,-0.316377,-0.338752,0.43078,0.061441,-0.060523,-0.121608,0.195555,0.372201,0.176949,-0.104936,-0.089495,-0.188449,0.065149,-0.481158,-0.303421,-0.007864,0.204469,-0.004197,-0.13969,0.408647,0.11741,-0.243282,0.151121,-0.006578,0.198584,-0.009505,-0.062411,0.091736,-0.010621,0.025623,-0.15313,-0.003577,-0.13123,0.039033,0.098949,0.117262,-0.004499,0.004866,-0.101896,-0.030972,0.068354,0.113617,-0.116041,0.003559,0.062645,-0.010381,0.053387,0.012881,-0.013101,-0.037517,-0.030205,-0.011286,0.037992,0.001322,-1
-0.411735,1.931568,-2.602848,-1.397103,-0.764105,0.334082,0.216299,-0.933164,-0.209614,-0.105399,0.487962,0.358891,0.407347,0.230703,-0.145546,0.221829,0.262138,-0.122952,0.128612,0.129378,-0.091077,-0.327151,-0.027886,0.094744,-0.078877,-0.103352,0.022284,0.044965,-0.08549,0.031575,0.015071,-0.153835,-0.012352,0.117692,-0.175463,-0.039763,-0.155431,-0.029851,-0.205303,-0.058378,0.025393,-0.011965,-0.050052,-0.136394,-0.063335,0.019839,-0.143236,0.03956,0.035212,-0.035633,-0.047673,-0.140496,-0.054542,0.083309,-0.040585,-0.02164,0.031492,-0.022007,0.026651,0.079113,0.089174,-0.016525,0.092517,-0.153042,0.014598,0.0042,-1
-1.660049,3.190011,0.078428,-1.701544,-1.164296,-0.285591,0.088274,0.017863,0.111187,0.433494,-0.378961,-0.400654,0.181862,-0.898,-0.120842,-0.24548,-0.001311,0.222178,0.09353,0.010561,-0.241322,-0.270479,-0.201702,-0.081515,0.201938,-0.089703,0.016866,-0.229521,0.268998,-0.014703,0.152052,0.071883,-0.008637,0.038289,-0.124274,-0.032563,0.166679,0.000508,0.191225,-0.006668,0.051375,0.034035,0.04453,0.065753,-0.079016,-0.112957,-0.08699,0.126414,-0.218102,-0.055961,0.161787,0.020427,-0.096869,-0.045902,0.086035,-0.140373,0.073613,0.046118,0.067218,-0.000205,0.064905,-0.015999,0.025266,0.010532,-0.04462,-0.098651,-1
-0.383388,3.036313,-2.023322,-0.087914,-1.033531,-1.531191,1.326461,-1.372284,0.076483,-0.221965,0.97525,0.472356,-0.241599,0.76703,0.724807,-0.119677,0.366792,-0.057638,0.014491,-0.174845,-0.052442,-0.408536,-0.270049,0.103013,0.149334,0.22139,0.126557,-0.091023,-0.059727,-0.003421,-0.027076,-0.202026,-0.00172,-0.033703,0.115432,-0.041159,0.070039,-0.119836,-0.191986,0.043313,0.005762,-0.091563,0.072458,0.295416,0.161557,-0.105184,-0.025242,0.052834,0.114402,0.044162,0.040988,0.039386,0.071971,-0.042345,-0.030937,-0.056054,0.099544,-0.075661,0.099336,0.027637,-0.02631,-0.008384,-0.000413,0.026672,0.047903,-0.085874,-1
-5.876772,-0.337113,-2.591081,1.476193,0.046024,-0.943361,-0.800974,-0.67027,-0.197081,-0.074071,-0.2198,0.292149,-0.061397,-0.609916,0.10255,-0.047553,-0.050623,0.0875,-0.555864,0.07281,0.101907,-0.186595,-0.4561,-0.044342,0.105705,0.030642,0.160812,0.12884,-0.071283,0.157431,-0.075609,0.027219,-0.049087,0.167106,0.006487,-0.05733,0.154088,-0.055203,0.004565,0.12084,0.119966,-0.202828,-0.035112,0.038315,-0.133843,-0.055976,-0.03167,0.036729,0.065981,-0.065156,-0.072312,-0.007954,0.058967,0.000489,0.010646,0.017975,-0.151998,0.056605,-0.067891,0.00799,-0.032454,-0.090529,0.125029,0.071246,-0.011063,-0.102083,-1
