@relation 'Y:\\Teaching\\CP5605_3300 Data mining\\Insu\\Assignment - Sample Student Work\\Data\\Facial_Palsy_svmlight_format\\palsy_diff_66PCs_4vsNormal.dat'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute att_9 numeric
@attribute att_10 numeric
@attribute att_11 numeric
@attribute att_12 numeric
@attribute att_13 numeric
@attribute att_14 numeric
@attribute att_15 numeric
@attribute att_16 numeric
@attribute att_17 numeric
@attribute att_18 numeric
@attribute att_19 numeric
@attribute att_20 numeric
@attribute att_21 numeric
@attribute att_22 numeric
@attribute att_23 numeric
@attribute att_24 numeric
@attribute att_25 numeric
@attribute att_26 numeric
@attribute att_27 numeric
@attribute att_28 numeric
@attribute att_29 numeric
@attribute att_30 numeric
@attribute att_31 numeric
@attribute att_32 numeric
@attribute att_33 numeric
@attribute att_34 numeric
@attribute att_35 numeric
@attribute att_36 numeric
@attribute att_37 numeric
@attribute att_38 numeric
@attribute att_39 numeric
@attribute att_40 numeric
@attribute att_41 numeric
@attribute att_42 numeric
@attribute att_43 numeric
@attribute att_44 numeric
@attribute att_45 numeric
@attribute att_46 numeric
@attribute att_47 numeric
@attribute att_48 numeric
@attribute att_49 numeric
@attribute att_50 numeric
@attribute att_51 numeric
@attribute att_52 numeric
@attribute att_53 numeric
@attribute att_54 numeric
@attribute att_55 numeric
@attribute att_56 numeric
@attribute att_57 numeric
@attribute att_58 numeric
@attribute att_59 numeric
@attribute att_60 numeric
@attribute att_61 numeric
@attribute att_62 numeric
@attribute att_63 numeric
@attribute att_64 numeric
@attribute att_65 numeric
@attribute att_66 numeric
@attribute class {+1,-1}

@data
{0 2.4767,1 5.220728,2 -0.180228,3 -1.871051,4 -0.870569,5 -0.396016,6 0.548202,7 0.414261,8 -0.483824,9 -0.504777,10 0.176026,11 0.142432,12 -0.467045,13 0.509938,14 0.398086,15 -0.561205,16 -0.118672,17 0.407251,18 0.629753,19 -0.364249,20 -0.2876,21 0.13725,22 0.040216,23 0.091476,24 -0.109232,25 0.122348,26 0.071283,27 -0.24153,28 0.035358,29 -0.120055,30 0.106214,31 -0.041828,32 0.077238,33 -0.0899,34 0.103428,35 -0.118088,36 0.136225,37 0.109697,38 0.249749,39 -0.130089,40 -0.103641,41 0.121824,42 0.094691,43 0.086059,44 -0.058413,45 0.010804,46 0.061223,47 -0.070852,48 0.142699,49 0.071824,50 -0.127402,51 0.007259,52 -0.089718,53 0.092982,54 0.082213,55 0.01061,56 -0.03249,57 0.02084,58 -0.070893,59 0.111472,60 0.068221,61 -0.013747,62 0.036071,63 0.031884,64 0.030397,65 -0.054251,66 -1}
{0 -4.89777,1 0.91722,2 -0.437752,3 -1.345338,4 -0.187793,5 -0.665843,6 -1.232,7 -0.025495,8 0.784186,9 0.435579,10 -0.380333,11 0.161777,12 0.455659,13 0.136491,14 0.085549,15 0.176987,16 -0.545121,17 -0.043802,18 0.176992,19 -0.271898,20 -0.232055,21 0.177532,22 -0.012932,23 0.026589,24 -0.152333,25 -0.102913,26 0.178382,27 -0.339479,28 -0.120416,29 -0.117792,30 0.320282,31 -0.045104,32 -0.23119,33 -0.05195,34 0.112966,35 -0.067288,36 -0.093192,37 -0.199451,38 -0.020732,39 0.112823,40 -0.066948,41 0.029466,42 -0.297389,43 0.053351,44 0.185012,45 0.044557,46 0.111557,47 -0.092319,48 -0.117969,49 -0.157436,50 -0.117653,51 -0.043496,52 0.061526,53 -0.020405,54 0.071675,55 -0.089494,56 -0.055046,57 0.007151,58 0.004559,59 -0.012325,60 0.022564,61 0.032151,62 0.008217,63 -0.004239,64 0.013257,65 0.071589,66 -1}
{0 9.57846,1 -0.577689,2 3.855123,3 -3.342428,4 -2.509256,5 0.845096,6 0.888725,7 0.33819,8 -0.825018,9 0.779154,10 -0.231496,11 0.465926,12 0.093742,13 0.194683,14 0.404103,15 0.339473,16 -0.281276,17 -0.595555,18 -0.035799,19 0.330408,20 -0.077187,21 -0.247667,22 -0.029932,23 0.339819,24 -0.059354,25 0.243921,26 0.021921,27 -0.018425,28 -0.081708,29 0.032133,30 -0.035703,31 0.202383,32 -0.095187,33 0.099307,34 0.001298,35 0.12908,36 -0.064969,37 0.097487,38 0.050265,39 -0.04093,40 -0.133823,41 -0.00179,42 0.023882,43 -0.046365,44 0.076848,45 -0.109974,46 0.032808,47 -0.04676,48 -0.02792,49 -0.146293,50 0.039892,51 -0.000959,52 0.020513,53 0.004592,54 0.000228,55 -0.010118,56 -0.010933,57 -0.097685,58 -0.046195,59 0.105538,60 -0.079563,61 -0.118855,62 -0.033256,63 -0.008286,64 -0.066326,65 0.574107,66 -1}
{0 -0.126401,1 4.472796,2 -0.034676,3 -2.457094,4 -1.09995,5 0.986759,6 0.241333,7 0.261628,8 -0.499359,9 -0.484221,10 0.091991,11 -0.137911,12 -0.478368,13 0.639857,14 0.253859,15 -0.653699,16 0.131913,17 0.490866,18 0.524569,19 -0.357884,20 -0.317344,21 0.243456,22 0.055785,23 -0.082124,24 0.040352,25 0.310841,26 -0.105545,27 -0.063022,28 0.041968,29 0.084923,30 0.439191,31 -0.008464,32 -0.141999,33 -0.07181,34 -0.084335,35 -0.202018,36 0.03811,37 -0.184627,38 -0.080521,39 0.024856,40 -0.114264,41 -0.171059,42 0.06152,43 -0.125484,44 -0.050638,45 -0.048928,46 -0.080493,47 0.0844,48 -0.065373,49 -0.001807,50 -0.048476,51 0.022472,52 -0.022452,53 -0.056401,54 -0.137741,55 0.133318,56 -0.051892,57 0.041078,58 0.024621,59 -0.051885,60 -0.030458,61 -0.017009,62 -0.0509,63 -0.011711,64 -0.047791,65 0.049647,66 -1}
{0 -5.291782,1 0.632517,2 -0.890151,3 -0.33802,4 -0.018359,5 -0.993709,6 0.376836,7 -0.470826,8 0.339599,9 -0.097154,10 0.300062,11 0.12062,12 0.061035,13 0.05527,14 0.238183,15 -0.115545,16 0.099221,17 -0.15186,18 0.371709,19 0.050609,20 -0.142363,21 -0.045519,22 0.252519,23 -0.092854,24 -0.008448,25 -0.352564,26 -0.092028,27 0.015764,28 0.095363,29 0.050808,30 -0.182633,31 -0.107318,32 0.04593,33 0.08607,34 -0.154673,35 -0.135764,36 0.067239,37 0.017923,38 -0.023598,39 -0.021235,40 -0.220721,41 0.081808,42 0.042077,43 -0.160792,44 -0.056099,45 -0.018519,46 0.028585,47 0.055253,48 -0.001608,49 -0.084214,50 0.089117,51 0.104006,52 0.245032,53 -0.0827,54 0.116991,55 0.115775,56 0.000627,57 -0.009853,58 0.010164,59 0.07981,60 0.003933,61 0.073232,62 0.034166,63 0.00954,64 0.00576,65 -0.132406,66 -1}
{0 -2.192506,1 0.169462,2 -0.213423,3 -1.664723,4 -2.481041,5 0.482669,6 1.096156,7 0.325914,8 -0.23076,9 0.051323,10 0.489673,11 0.802266,12 -0.106408,13 0.223034,14 -0.085879,15 -0.152837,16 -0.119689,17 0.033108,18 0.278645,19 0.193723,20 0.042044,21 -0.093736,22 0.134501,23 -0.085455,24 -0.187908,25 0.010162,26 -0.31541,27 0.039257,28 -0.106398,29 -0.139773,30 -0.051488,31 -0.200316,32 0.240554,33 0.110457,34 0.190821,35 -0.013341,36 0.113602,37 0.049884,38 -0.121575,39 0.113728,40 0.195733,41 0.119658,42 -0.05265,43 0.074325,44 0.011584,45 -0.081607,46 0.043646,47 -0.082839,48 0.093712,49 -0.053404,50 -0.005266,51 0.031212,52 0.033439,53 0.065618,54 -0.012948,55 0.015225,56 0.044333,57 0.066099,58 -0.031673,59 -0.067008,60 0.026249,61 0.055518,62 0.005815,63 -0.015284,64 -0.154415,65 0.02335,66 -1}
{0 -1.013852,1 1.683834,2 -1.627431,3 -1.621837,4 -0.885955,5 0.117534,6 0.256107,7 -0.490296,8 -0.108731,9 0.395004,10 -0.305541,11 0.085457,12 0.784307,13 -0.173986,14 0.058706,15 0.053011,16 0.047447,17 -0.232178,18 -0.041789,19 0.200786,20 0.081873,21 0.003562,22 -0.046256,23 0.08997,24 0.010743,25 -0.029306,26 0.080276,27 0.029358,28 0.00645,29 0.02508,30 0.059266,31 0.060048,32 -0.067637,33 0.07783,34 -0.175364,35 -0.092453,36 -0.156519,37 0.03038,38 -0.039409,39 -0.087754,40 0.075707,41 0.09929,42 0.015003,43 -0.076754,44 0.062565,45 -0.002614,46 -0.01582,47 0.102773,48 0.073896,49 -0.062599,50 0.031478,51 -0.1584,52 -0.023454,53 0.015922,54 -0.15355,55 -0.022308,56 0.020659,57 0.000309,58 -0.057995,59 0.041478,60 0.038435,61 0.099377,62 -0.029151,63 0.175163,64 0.003361,65 -0.05998,66 -1}
{0 -5.026732,1 0.735347,2 -1.824203,3 0.56087,4 -0.17176,5 -1.107395,6 0.728259,7 -0.634898,8 0.234427,9 0.697195,10 0.58917,11 0.003797,12 0.376496,13 0.433146,14 0.645583,15 -0.021657,16 0.050534,17 -0.109546,18 -0.428358,19 -0.215473,20 -0.076496,21 -0.281013,22 -0.283036,23 0.171336,24 -0.222757,25 -0.12451,26 0.222998,27 0.134159,28 -0.019002,29 0.01312,30 -0.103864,31 0.11795,32 -0.052509,33 0.104195,34 0.118215,35 0.06434,36 0.017209,37 0.133799,38 -0.043995,39 -0.018069,40 -0.02624,41 -0.007212,42 -0.01219,43 -0.114363,44 -0.012688,45 -0.029771,46 -0.127939,47 -0.133196,48 -0.243274,49 0.156683,50 -0.098532,51 0.16329,52 -0.044694,53 0.120071,54 -0.039086,55 -0.01194,56 -0.063009,57 -0.049117,58 0.056297,59 0.027072,60 -0.011364,61 0.077687,62 -0.007733,63 0.033994,64 -0.027591,65 0.043784,66 -1}
{0 -2.099573,1 0.265084,2 -4.533936,3 2.268316,4 0.119744,5 -1.548944,6 -0.583285,7 -0.950357,8 -0.335972,9 -0.93384,10 0.235017,11 1.089631,12 -0.135223,13 -0.900324,14 -0.373288,15 -0.59856,16 -0.786515,17 -0.137323,18 -0.202956,19 0.156603,20 0.399192,21 0.182215,22 -0.09948,23 0.342784,24 -0.231595,25 0.37886,26 0.344638,27 0.118681,28 -0.125187,29 -0.017581,30 0.027626,31 -0.012856,32 -0.355211,33 -0.188183,34 0.152441,35 0.139558,36 0.173904,37 0.008576,38 0.229781,39 -0.115856,40 -0.031511,41 0.038791,42 -0.016227,43 -0.094974,44 -0.073415,45 0.099104,46 -0.062893,47 0.040313,48 0.077247,49 -0.053247,50 -0.005605,51 -0.022698,52 0.052142,53 0.009026,54 -0.01332,55 0.014834,56 0.119284,57 -0.002214,58 0.052871,59 -0.023912,60 -0.030753,61 0.027537,62 -0.014425,63 -0.028629,64 -0.028452,65 -0.133863,66 -1}
{0 -7.802457,1 -0.365798,2 0.9395,3 1.207462,4 0.647519,5 0.358535,6 -0.564116,7 -0.15992,8 0.560745,9 -0.417293,10 0.299119,11 0.574522,12 0.360961,13 0.737799,14 0.22164,15 -0.158449,16 -0.110651,17 0.399122,18 0.292039,19 0.58596,20 0.27146,21 0.072465,22 -0.330453,23 -0.330489,24 0.48281,25 -0.128426,26 0.047064,27 0.13537,28 0.08077,29 -0.265129,30 0.084065,31 0.24428,32 -0.071868,33 0.080257,34 -0.005882,35 -0.027304,36 0.038909,37 -0.115774,38 0.118645,39 0.03023,40 0.229745,41 0.124741,42 0.207365,43 -0.1743,44 0.250375,45 -0.047255,46 -0.067057,47 0.013662,48 0.030039,49 0.049124,50 -0.055552,51 -0.043073,52 0.049397,53 0.027786,54 0.087187,55 0.007038,56 -0.034186,57 -0.011953,58 0.001967,59 0.001591,60 -0.000817,61 -0.04038,62 -0.048886,63 -0.031087,64 0.006049,65 -0.288772,66 -1}
