att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,class
-0.730241,-0.278831,0.706392,-0.141029,0.299997,0.077168,-0.180741,0.551576,0.2303,-0.053068,0.007247,0.065376,-0.036566,0.068337,0.002322,-0.199514,-0.324102,-0.147767,-0.064926,0.169271,-1
-0.09957,-0.034619,-0.2801,0.079036,0.200247,0.067573,-0.396738,-0.069627,0.144064,-0.295271,0.033411,-0.198888,0.200165,-0.469052,-0.110619,-0.31421,0.057436,-0.123711,0.446669,-0.067598,-1
0.755971,-0.066471,-0.194237,-0.127239,0.461327,-0.265241,-0.020492,-0.084833,0.211106,-0.069722,-0.021141,0.203052,0.375544,-0.325251,-0.397159,-0.227228,0.230451,-0.297843,0.35449,0.290494,-1
-0.046778,0.051694,-0.214614,0.112093,0.355909,0.071761,-0.32614,-0.011113,0.002288,-0.452332,-0.046982,-0.570581,0.342207,-0.270079,-0.28503,-0.38478,0.370655,-0.198461,0.322413,-0.019918,-1
0.622229,-0.085862,-0.221994,0.004795,0.428947,-0.045627,-0.241623,-0.084161,0.296034,-0.214071,-0.048425,-0.032107,0.299198,-0.368717,-0.310858,-0.215637,0.051493,-0.204795,0.362023,0.118245,-1
0.521517,0.00315,-0.184688,0.03051,0.436124,-0.241326,-0.180441,0.056226,0.211303,-0.236185,-0.083009,-0.110776,0.245168,-0.227674,-0.148688,-0.166225,-0.005815,-0.011947,0.312435,0.153289,-1
-0.563192,-0.062064,-0.002267,-0.291154,0.241925,-0.020297,-0.459369,-0.072165,0.029607,-0.054978,-0.279617,0.074876,0.020153,-0.005239,0.069473,-0.217907,-0.166108,-0.183745,0.588989,0.231365,-1
-0.489921,0.026782,0.058094,-0.28054,-0.06422,0.145696,-0.121614,0.313541,-0.191306,-0.227521,-0.045543,-0.145245,-0.041044,-0.130047,-0.148333,-0.112433,-0.028188,-0.051778,0.254653,-0.01928,-1
-0.036204,0.264242,0.069231,-0.268737,-0.041387,-0.00774,-0.105877,0.366615,0.075368,-0.443757,-0.031161,-0.033977,-0.001788,0.093997,-0.22476,-0.140647,-0.242853,-0.037085,0.493878,-0.131636,-1
-0.117151,-0.133855,-0.19829,-0.184759,0.009437,0.021061,-0.52798,-0.110997,0.438203,0.166529,-0.006944,0.236067,0.140387,-0.026903,-0.034137,0.033233,-0.539809,-0.26693,0.30742,0.526221,-1
-0.73293,-0.274092,0.706508,-0.142835,0.293414,0.078497,-0.168861,0.548889,0.228001,-0.084244,0.003339,0.083622,-0.048029,0.072179,0.015248,-0.200614,-0.316063,-0.160354,-0.05214,0.141928,-1
-0.672813,-0.12474,-0.158527,-0.230828,0.017027,-0.178126,-0.548554,-0.022563,0.081001,0.101595,-0.105891,0.249195,0.03326,0.111145,-0.021512,-0.006922,-0.638219,-0.169359,0.220153,0.362252,-1
-0.851151,0.108002,0.202657,-0.052983,0.106762,-0.092517,-0.254583,0.058114,0.15843,0.045806,-0.138311,0.123674,-0.098158,0.064133,-0.042578,-0.039004,-0.548931,-0.124524,0.313357,0.220066,-1
-0.720193,-0.240051,0.606057,-0.144035,0.271467,-0.008707,-0.213165,0.326851,0.211953,0.039723,-0.078424,0.147381,0.279384,0.269391,-0.036482,-0.164059,-0.357069,-0.183351,-0.066784,0.307824,-1
-0.753457,-0.253882,0.683827,-0.139581,0.191067,0.109819,-0.232488,0.522414,0.192594,-0.019447,0.032804,0.082952,-0.070342,0.07326,-0.116945,-0.058796,-0.336914,-0.229231,0.120126,0.235389,-1
-0.780151,-0.191161,0.708842,-0.125754,0.272573,0.068839,-0.093148,0.530726,0.173645,-0.110243,-0.031528,0.105068,-0.108692,0.018023,0.015587,-0.292091,-0.28904,-0.134781,-0.073775,0.011421,-1
-0.719356,-0.056236,-0.07912,-0.179742,0.08966,-0.161521,-0.548715,-0.051699,0.087088,0.08293,-0.111878,0.244009,-0.021688,0.107241,0.011699,-0.041201,-0.601171,-0.184947,0.24293,0.360625,-1
-0.449166,-0.067726,-0.066994,-0.150381,0.328238,-0.345615,-0.397183,-0.018551,-0.143442,-0.097495,-0.137621,0.213305,0.075654,0.036177,0.075673,-0.293395,-0.623618,-0.135182,0.184725,0.275995,-1
-0.369396,0.13123,-0.220397,-0.174925,0.312606,-0.118042,-0.626624,-0.095924,-0.515321,-0.02799,-0.312326,-0.154187,-0.051949,-0.181816,0.077923,0.180917,0.483302,-0.2406,0.483098,-0.081572,-1
-0.039033,0.434235,-0.192558,-0.416391,-0.115457,0.533365,-0.901179,-0.234004,0.544786,0.228412,-0.168558,0.11513,-0.479955,-0.275337,0.111372,0.137593,1,-0.506843,0.09818,-0.261784,-1
0.465595,0.903623,0.063087,-0.549692,-0.197547,0.476811,-0.755502,-0.076935,-0.319712,-0.031758,-0.641491,0.139775,-0.041895,-0.419456,0.143928,-0.250422,0.238036,0.010062,0.882605,-0.637345,-1
-0.406498,0.222192,-0.599791,-0.076106,-0.318842,0.105038,-0.98516,-0.004764,0.44416,-0.117015,0.028698,0.01103,0.027395,0.126772,-0.132629,-0.198833,-0.414137,-0.461008,-0.286772,0.341721,-1
-0.319044,0.202902,-0.410341,-0.211132,-0.109276,0.423195,-0.846175,-0.124625,0.662833,0.018823,-0.184332,0.271311,-0.129048,-0.32342,0.205938,-0.378227,0.398658,-0.160074,0.281009,-0.332383,-1
-0.55004,-0.1099,-0.288713,-0.049536,0.147683,0.041766,-0.579701,0.091457,0.063561,-0.156946,-0.209253,-0.002038,0.088534,-0.1343,-0.009289,-0.171923,0.014874,0.000953,0.441028,-0.137105,-1
-0.168002,-0.243999,-0.324024,-0.014362,0.517508,-0.554743,-0.327729,-0.035879,0.081254,-0.10813,0.025432,0.457288,0.031818,-0.11266,-0.025422,-0.043173,-0.445733,0.170496,0.129428,0.330662,-1
-0.56737,-0.123113,-0.404568,-0.090514,0.220784,-0.001594,-0.761006,-0.050206,-0.021404,-0.096869,-0.284902,0.004329,0.07407,-0.338235,0.076894,-0.155089,0.358542,0.097957,0.620975,-0.218128,-1
-0.506048,-0.072496,-0.249124,-0.14127,0.240527,0.068401,-0.733247,-0.036645,0.10762,-0.035474,-0.399471,-0.118457,0.220196,-0.348608,0.247517,-0.309605,0.267354,-0.041017,0.76027,-0.484758,-1
-0.177232,-0.213454,-0.41118,-0.008331,0.585525,-0.673153,-0.419211,-0.19415,0.079585,0.020656,0.091117,0.651814,-0.144424,-0.094261,0.105397,0.044774,-0.780746,0.181136,0.108912,0.509235,-1
-0.172279,-0.247239,-0.36546,-0.018647,0.535702,-0.586304,-0.362991,-0.090811,0.065448,-0.057127,0.072876,0.528401,-0.025003,-0.139067,0.018068,-0.031013,-0.554044,0.196767,0.082442,0.426909,-1
-0.474819,0.058094,-0.766855,0.055886,0.013818,-0.44409,-0.888262,0.02065,-0.030548,-0.266217,0.024044,-0.210676,0.271735,0.181277,-0.176377,-0.206827,-0.694156,-0.475071,-0.034527,0.341353,-1
-0.681088,0.099755,-0.50264,0.109306,-0.125709,-0.15322,-0.793669,-0.014758,-0.002609,-0.194412,0.115351,-0.19732,0.053022,0.056008,-0.210266,-0.098672,-0.636187,-0.354537,-0.013189,0.423193,-1
-0.217732,-0.389479,-0.596043,-0.044434,0.624317,-0.721152,-0.611181,-0.168535,0.099182,-0.042256,0.137468,0.770671,-0.041582,-0.052673,0.074994,0.031521,-0.623199,0.232788,0.03214,0.518598,-1
-0.767121,-0.016757,-0.139588,-0.051626,0.195153,0.074483,-0.559752,-0.067716,-0.029744,0.00064,-0.252378,-0.0578,-0.061663,-0.44065,0.067461,-0.149363,0.265391,0.037748,0.472468,-0.207187,-1
-0.458839,-0.173293,-0.313739,-0.397661,-0.094751,0.539708,-0.913417,-0.139888,0.48135,0.196788,-0.382292,-0.082184,0.038625,-0.276512,0.034825,0.003967,0.613009,-0.185524,0.56278,-0.083226,-1
-0.430924,-0.063156,-0.841979,-0.059661,-0.319361,-0.143367,-1,0.183206,-0.025657,-0.264902,-0.279485,-0.08714,0.492374,0.142439,-0.169402,-0.190796,-0.62745,-0.228692,-0.021526,0.275633,-1
-0.686187,-0.050511,-0.318954,-0.048904,0.087055,0.115443,-0.655217,-0.056852,0.034671,0.04849,-0.220364,-0.031509,0.024737,-0.313742,0.021286,0.028764,0.265981,-0.075587,0.380843,-0.068827,-1
-0.629218,-0.123529,-0.471068,-0.115084,0.082159,0.039851,-0.71905,-0.045464,-0.136889,-0.035315,-0.294343,0.044229,0.097856,-0.358148,0.098526,-0.207766,0.271666,-0.070001,0.123441,-0.193014,-1
-0.113037,-0.25691,-0.349456,0.000346,0.475818,-0.500873,-0.349367,-0.087703,0.126928,-0.057396,0.05225,0.528756,0.035925,-0.211351,0.021494,-0.136709,-0.606046,0.209793,0.166331,0.356069,-1
-0.626095,0.162648,-0.303367,0.183448,0.250548,-0.418068,-0.611236,0.119942,0.098109,-0.293117,0.030002,-0.092713,0.07626,0.313179,-0.059536,-0.176999,-0.598304,-0.392772,0.303278,0.172714,-1
-0.172279,-0.247239,-0.36546,-0.018647,0.535702,-0.586304,-0.362991,-0.090811,0.065448,-0.057127,0.072876,0.528401,-0.025003,-0.139067,0.018068,-0.031013,-0.554044,0.196767,0.082442,0.426909,-1
-0.354796,0.117028,-0.516343,-0.201244,0.130089,-0.389044,-0.720672,-0.096552,0.426621,-0.006296,0.020596,0.739639,-0.103567,0.157286,0.173474,-0.088694,-0.904554,0.156955,0.596072,0.295925,-1
-0.608994,-0.25702,-0.176553,-0.18473,0.237962,0.320835,-0.432059,0.034808,0.106247,0.189473,-0.457454,-0.798901,0.229993,-0.154432,-0.196368,-0.298099,0.110842,-0.149665,0.762934,0.083771,-1
-0.665296,-0.035474,-0.328901,-0.268753,0.02626,-0.125026,-0.421719,-0.013059,0.13268,-0.087701,-0.230072,-0.553065,0.370587,0.283231,-0.110805,-0.284893,-0.513874,-0.517036,0.44647,0.480788,-1
-0.52323,-0.092214,-0.395074,-0.043001,0.217705,-0.003867,-0.622888,-0.068575,-0.018127,-0.053657,-0.231095,0.008898,0.005793,-0.305466,0.120398,-0.164352,0.332412,-0.093531,0.301525,-0.209103,-1
-0.435837,0.01965,-0.743637,0.042269,-0.050295,-0.292657,-0.91416,0.069861,-0.049287,-0.277572,-0.043186,-0.11832,0.307771,0.176817,-0.159693,-0.178234,-0.62059,-0.331497,-0.012142,0.367353,-1
-0.462234,-0.405707,-0.362172,-0.355023,0.154258,0.195387,-0.776958,-0.092214,-0.000888,0.027919,-0.389103,-0.143331,0.257543,-0.382192,0.110998,-0.238112,0.454457,-0.008567,0.577526,-0.172096,-1
-0.539974,-0.218992,-0.225512,0.07441,0.42624,-0.163222,-0.397828,-0.147016,0.148265,-0.096964,-0.107363,-0.326576,0.06384,-0.375333,0.042887,-0.242596,0.266412,-0.249609,0.633047,-0.157528,-1
-0.038276,0.452713,-0.578155,-0.093375,-0.158701,0.11722,-0.787356,0.043753,-0.065979,-0.306253,-0.276485,-0.19895,0.221012,-0.027072,0.294087,-0.243973,-0.345973,0.079886,0.013366,0.039253,-1
-0.172279,-0.247239,-0.36546,-0.018647,0.535702,-0.586304,-0.362991,-0.090811,0.065448,-0.057127,0.072876,0.528401,-0.025003,-0.139067,0.018068,-0.031013,-0.554044,0.196767,0.082442,0.426909,-1
-0.607931,-0.156942,-0.378586,-0.106305,0.263364,-0.005965,-0.768273,-0.110641,-0.02223,-0.049675,-0.224906,-0.036347,0.053681,-0.389107,0.082099,-0.162734,0.363323,0.054883,0.555858,-0.190915,-1
-0.612314,-0.103029,-0.4429,-0.06713,0.223927,-0.036645,-0.730243,-0.089407,-0.01841,-0.054688,-0.23628,0.046718,0.039251,-0.279421,0.119847,-0.116475,0.336707,-0.102246,0.350358,-0.169977,-1
-0.56708,0.039103,-0.658399,0.049293,-0.146227,-0.19036,-0.89545,0.083993,-0.020024,-0.227603,-0.074269,-0.139263,0.275556,0.155073,-0.180106,-0.141215,-0.638942,-0.296563,-0.021771,0.383648,-1
-0.56708,0.039103,-0.658399,0.049293,-0.146227,-0.19036,-0.89545,0.083993,-0.020024,-0.227603,-0.074269,-0.139263,0.275556,0.155073,-0.180106,-0.141215,-0.638942,-0.296563,-0.021771,0.383648,-1
-0.584784,-0.087835,-0.343203,-0.043968,0.17351,0.018234,-0.608302,0.028988,0.023537,-0.114128,-0.226604,0.038384,0.081739,-0.212856,0.032863,-0.144258,0.177561,-0.040224,0.407656,-0.129926,-1
-0.57556,-0.081189,-0.342956,-0.037963,0.199434,-0.01135,-0.612573,-0.008672,0.02339,-0.080765,-0.230674,0.036198,0.05708,-0.249444,0.054845,-0.144277,0.172335,-0.104731,0.38671,-0.117271,-1
-0.172456,-0.247878,-0.365535,-0.013979,0.533061,-0.586158,-0.36535,-0.086468,0.066394,-0.056527,0.072974,0.530136,-0.023588,-0.138121,0.019951,-0.034113,-0.563259,0.203155,0.090781,0.424987,-1
-0.115454,-0.201444,-0.313083,-0.015694,0.465235,-0.486979,-0.324608,-0.076983,0.15784,-0.024791,0.065051,0.474179,-0.005826,-0.163836,-0.004256,0.002018,-0.513378,0.144116,0.116853,0.408074,-1
-0.066579,-0.164906,-0.253485,-0.015605,0.403591,-0.38392,-0.288915,-0.062517,0.243402,-0.002541,0.067641,0.412484,-0.010751,-0.17045,-0.017896,0.00992,-0.489047,0.1005,0.157888,0.404885,-1
-0.347528,0.40306,-0.385618,-0.030087,-0.164184,-0.092374,-0.733891,0.042825,0.272102,-0.241682,-0.033829,0.00162,-0.024214,0.228975,-0.11497,-0.191113,-0.599212,-0.383568,0.128006,0.20074,-1
